CONTENT,CLASS,content_lower,content_lower_rn,content_tokenized,content_filter,content_normalized,content_stopwords,content_stemm,content_clean
LOVE THE WAY YOU LIE ..&quot;﻿,0,love the way you lie ..&quot;﻿,love the way you lie,"['love', 'the', 'way', 'you', 'lie']","['love', 'the', 'way', 'you', 'lie']","['love', 'the', 'way', 'you', 'lie']","['love', 'way', 'lie']","['love', 'way', 'lie']","['love', 'way', 'lie']"
Check out this video on YouTube:﻿,1,check out this video on youtube:﻿,check out this video on youtube,"['check', 'out', 'this', 'video', 'on', 'youtube']","['check', 'out', 'this', 'video', 'on', 'youtube']","['check', 'out', 'this', 'video', 'on', 'youtube']","['check', 'video', 'youtube']","['check', 'video', 'youtub']","['check', 'video', 'youtub']"
This guy win dollars sleeping... m m m he loves the planet its full of RETARDS,1,this guy win dollars sleeping... m m m he loves the planet its full of retards,this guy win dollars sleeping mm he loves the planet its full of retards,"['this', 'guy', 'win', 'dollars', 'sleeping', 'mm', 'he', 'loves', 'the', 'planet', 'its', 'full', 'of', 'retards']","['this', 'guy', 'win', 'dollars', 'sleeping', 'he', 'loves', 'the', 'planet', 'its', 'full', 'of', 'retards']","['this', 'guy', 'win', 'dollars', 'sleeping', 'he', 'loves', 'the', 'planet', 'it is', 'full', 'of', 'retards']","['guy', 'win', 'dollars', 'sleeping', 'loves', 'planet', 'it is', 'full', 'retards']","['guy', 'win', 'dollar', 'sleep', 'love', 'planet', 'it i', 'full', 'retard']","['guy', 'win', 'dollar', 'sleep', 'love', 'planet', 'it i', 'full', 'retard']"
Check out our cover of this song!,1,check out our cover of this song!,check out our cover of this song,"['check', 'out', 'our', 'cover', 'of', 'this', 'song']","['check', 'out', 'our', 'cover', 'of', 'this', 'song']","['check', 'out', 'our', 'cover', 'of', 'this', 'song']","['check', 'cover', 'song']","['check', 'cover', 'song']","['check', 'cover', 'song']"
Check out this video on YouTube:﻿,1,check out this video on youtube:﻿,check out this video on youtube,"['check', 'out', 'this', 'video', 'on', 'youtube']","['check', 'out', 'this', 'video', 'on', 'youtube']","['check', 'out', 'this', 'video', 'on', 'youtube']","['check', 'video', 'youtube']","['check', 'video', 'youtub']","['check', 'video', 'youtub']"
goot﻿,0,goot﻿,goot,['goot'],['goot'],['good'],['good'],['good'],['good']
2015 but Im still listening to this!﻿,0,2015 but im still listening to this!﻿,numeric but im still listening to this,"['numeric', 'but', 'im', 'still', 'listening', 'to', 'this']","['numeric', 'but', 'still', 'listening', 'to', 'this']","['numeric', 'but', 'still', 'listening', 'to', 'this']","['numeric', 'still', 'listening']","['numer', 'still', 'listen']","['numer', 'still', 'listen']"
"How is this the most watched Eminem video, it beats not afraid? ﻿",0,"how is this the most watched eminem video, it beats not afraid? ﻿",how is this the most watched eminem video it beats not afraid,"['how', 'is', 'this', 'the', 'most', 'watched', 'eminem', 'video', 'it', 'beats', 'not', 'afraid']","['how', 'is', 'this', 'the', 'most', 'watched', 'eminem', 'video', 'it', 'beats', 'not', 'afraid']","['how', 'is', 'this', 'the', 'most', 'watched', 'eminem', 'video', 'it', 'beats', 'not', 'afraid']","['watched', 'eminem', 'video', 'beats', 'afraid']","['watch', 'eminem', 'video', 'beat', 'afraid']","['watch', 'eminem', 'video', 'beat', 'afraid']"
Check out my channel for funny skits! Thanks!,1,check out my channel for funny skits! thanks!,check out my channel for funny skits thanks,"['check', 'out', 'my', 'channel', 'for', 'funny', 'skits', 'thanks']","['check', 'out', 'my', 'channel', 'for', 'funny', 'skits', 'thanks']","['check', 'out', 'my', 'channel', 'for', 'funny', 'skits', 'thanks']","['check', 'channel', 'funny', 'skits', 'thanks']","['check', 'channel', 'funni', 'skit', 'thank']","['check', 'channel', 'funni', 'skit', 'thank']"
hahahahah ♥♥♥♥ :D like vines ?  Subscribe to me for daily vines,1,hahahahah ♥♥♥♥ :d like vines ?  subscribe to me for daily vines,hahahahah heart_suit heart_suit heart_suit heart_suit d like vines subscribe to me for daily vines,"['hahahahah', 'heart_suit', 'heart_suit', 'heart_suit', 'heart_suit', 'd', 'like', 'vines', 'subscribe', 'to', 'me', 'for', 'daily', 'vines']","['hahahahah', 'heart_suit', 'heart_suit', 'heart_suit', 'heart_suit', 'like', 'vines', 'subscribe', 'to', 'me', 'for', 'daily', 'vines']","['laugh', 'love_emoji', 'love_emoji', 'love_emoji', 'love_emoji', 'like', 'vines', 'subscribe', 'to', 'me', 'for', 'daily', 'vines']","['laugh', 'love_emoji', 'love_emoji', 'love_emoji', 'love_emoji', 'like', 'vines', 'subscribe', 'daily', 'vines']","['laugh', 'love_emoji', 'love_emoji', 'love_emoji', 'love_emoji', 'like', 'vine', 'subscrib', 'daili', 'vine']","['laugh', 'love_emoji', 'love_emoji', 'love_emoji', 'love_emoji', 'like', 'vine', 'subscrib', 'daili', 'vine']"
please read this please! i am a country singer who is trying to become someone. so if you would like my videos please. just type... boys round here by country girl (only on computer) wasting all these tears e.t. please subscribe and like,1,please read this please! i am a country singer who is trying to become someone. so if you would like my videos please. just type... boys round here by country girl (only on computer) wasting all these tears e.t. please subscribe and like,please read this please i am a country singer who is trying to become someone so if you would like my videos please just type boys round here by country girl only on computer wasting all these tears e t please subscribe and like,"['please', 'read', 'this', 'please', 'i', 'am', 'a', 'country', 'singer', 'who', 'is', 'trying', 'to', 'become', 'someone', 'so', 'if', 'you', 'would', 'like', 'my', 'videos', 'please', 'just', 'type', 'boys', 'round', 'here', 'by', 'country', 'girl', 'only', 'on', 'computer', 'wasting', 'all', 'these', 'tears', 'e', 't', 'please', 'subscribe', 'and', 'like']","['please', 'read', 'this', 'please', 'i', 'am', 'a', 'country', 'singer', 'who', 'is', 'trying', 'to', 'become', 'someone', 'so', 'if', 'you', 'would', 'like', 'my', 'videos', 'please', 'just', 'type', 'boys', 'round', 'here', 'by', 'country', 'girl', 'only', 'on', 'computer', 'wasting', 'all', 'these', 'tears', 'please', 'subscribe', 'and', 'like']","['please', 'read', 'this', 'please', 'i', 'am', 'a', 'country', 'singer', 'who', 'is', 'trying', 'to', 'become', 'someone', 'so', 'if', 'you', 'would', 'like', 'my', 'video', 'please', 'just', 'type', 'boys', 'round', 'here', 'by', 'country', 'girl', 'only', 'on', 'computer', 'wasting', 'all', 'these', 'tears', 'please', 'subscribe', 'and', 'like']","['please', 'read', 'please', 'country', 'singer', 'trying', 'become', 'someone', 'would', 'like', 'video', 'please', 'type', 'boys', 'round', 'country', 'girl', 'computer', 'wasting', 'tears', 'please', 'subscribe', 'like']","['pleas', 'read', 'pleas', 'countri', 'singer', 'tri', 'becom', 'someon', 'would', 'like', 'video', 'pleas', 'type', 'boy', 'round', 'countri', 'girl', 'comput', 'wast', 'tear', 'pleas', 'subscrib', 'like']","['pleas', 'read', 'pleas', 'countri', 'singer', 'tri', 'becom', 'someon', 'would', 'like', 'video', 'pleas', 'type', 'boy', 'round', 'countri', 'girl', 'comput', 'wast', 'tear', 'pleas', 'subscrib', 'like']"
Check out this video on YouTube:﻿,1,check out this video on youtube:﻿,check out this video on youtube,"['check', 'out', 'this', 'video', 'on', 'youtube']","['check', 'out', 'this', 'video', 'on', 'youtube']","['check', 'out', 'this', 'video', 'on', 'youtube']","['check', 'video', 'youtube']","['check', 'video', 'youtub']","['check', 'video', 'youtub']"
"GUYS SHARE THIS VIDEO!!!!!  HE must have 1.000.000.000 views  Share on Facebook, groups, pages!!",1,"guys share this video!!!!!  he must have 1.000.000.000 views  share on facebook, groups, pages!!",guys share this video he must have numeric views share on facebook groups pages,"['guys', 'share', 'this', 'video', 'he', 'must', 'have', 'numeric', 'views', 'share', 'on', 'facebook', 'groups', 'pages']","['guys', 'share', 'this', 'video', 'he', 'must', 'have', 'numeric', 'views', 'share', 'on', 'facebook', 'groups', 'pages']","['guys', 'share', 'this', 'video', 'he', 'must', 'have', 'numeric', 'views', 'share', 'on', 'facebook', 'groups', 'pages']","['guys', 'share', 'video', 'must', 'numeric', 'views', 'share', 'facebook', 'groups', 'pages']","['guy', 'share', 'video', 'must', 'numer', 'view', 'share', 'facebook', 'group', 'page']","['guy', 'share', 'video', 'must', 'numer', 'view', 'share', 'facebook', 'group', 'page']"
CHECK OUT Eminem - Rap God LYRIC VIDEO,1,check out eminem - rap god lyric video,check out eminem rap god lyric video,"['check', 'out', 'eminem', 'rap', 'god', 'lyric', 'video']","['check', 'out', 'eminem', 'rap', 'god', 'lyric', 'video']","['check', 'out', 'eminem', 'rap', 'god', 'lyric', 'video']","['check', 'eminem', 'rap', 'god', 'lyric', 'video']","['check', 'eminem', 'rap', 'god', 'lyric', 'video']","['check', 'eminem', 'rap', 'god', 'lyric', 'video']"
Love this song﻿,0,love this song﻿,love this song,"['love', 'this', 'song']","['love', 'this', 'song']","['love', 'this', 'song']","['love', 'song']","['love', 'song']","['love', 'song']"
"Rihana, Love Me. :(﻿",0,"rihana, love me. :(﻿",rihana love me :(,"['rihana', 'love', 'me', ':', '(']","['rihana', 'love', 'me']","['rihana', 'love', 'me']","['rihana', 'love']","['rihana', 'love']","['rihana', 'love']"
like this comment then type 1337,1,like this comment then type 1337,like this comment then type numeric,"['like', 'this', 'comment', 'then', 'type', 'numeric']","['like', 'this', 'comment', 'then', 'type', 'numeric']","['like', 'this', 'comment', 'then', 'type', 'numeric']","['like', 'comment', 'type', 'numeric']","['like', 'comment', 'type', 'numer']","['like', 'comment', 'type', 'numer']"
Is that Charlie from lost?<br />﻿,0,is that charlie from lost?<br />﻿,is that charlie from lost,"['is', 'that', 'charlie', 'from', 'lost']","['is', 'that', 'charlie', 'from', 'lost']","['is', 'that', 'charlie', 'from', 'lost']","['charlie', 'lost']","['charli', 'lost']","['charli', 'lost']"
who the fuck cheats on megan fox﻿,0,who the fuck cheats on megan fox﻿,who the fuck cheats on megan fox,"['who', 'the', 'fuck', 'cheats', 'on', 'megan', 'fox']","['who', 'the', 'fuck', 'cheats', 'on', 'megan', 'fox']","['who', 'the', 'fuck', 'cheats', 'on', 'megan', 'fox']","['fuck', 'cheats', 'megan', 'fox']","['fuck', 'cheat', 'megan', 'fox']","['fuck', 'cheat', 'megan', 'fox']"
that is megan fox﻿,0,that is megan fox﻿,that is megan fox,"['that', 'is', 'megan', 'fox']","['that', 'is', 'megan', 'fox']","['that', 'is', 'megan', 'fox']","['megan', 'fox']","['megan', 'fox']","['megan', 'fox']"
I love music﻿,0,i love music﻿,i love music,"['i', 'love', 'music']","['i', 'love', 'music']","['i', 'love', 'music']","['love', 'music']","['love', 'music']","['love', 'music']"
like this comment then type 1337,1,like this comment then type 1337,like this comment then type numeric,"['like', 'this', 'comment', 'then', 'type', 'numeric']","['like', 'this', 'comment', 'then', 'type', 'numeric']","['like', 'this', 'comment', 'then', 'type', 'numeric']","['like', 'comment', 'type', 'numeric']","['like', 'comment', 'type', 'numer']","['like', 'comment', 'type', 'numer']"
❤❤❤❤❤❤❤﻿,0,❤❤❤❤❤❤❤﻿,red_heart red_heart red_heart red_heart red_heart red_heart red_heart,"['red_heart', 'red_heart', 'red_heart', 'red_heart', 'red_heart', 'red_heart', 'red_heart']","['red_heart', 'red_heart', 'red_heart', 'red_heart', 'red_heart', 'red_heart', 'red_heart']","['love_emoji', 'love_emoji', 'love_emoji', 'love_emoji', 'love_emoji', 'love_emoji', 'love_emoji']","['love_emoji', 'love_emoji', 'love_emoji', 'love_emoji', 'love_emoji', 'love_emoji', 'love_emoji']","['love_emoji', 'love_emoji', 'love_emoji', 'love_emoji', 'love_emoji', 'love_emoji', 'love_emoji']","['love_emoji', 'love_emoji', 'love_emoji', 'love_emoji', 'love_emoji', 'love_emoji', 'love_emoji']"
"hot,hot﻿",0,"hot,hot﻿",hot hot,"['hot', 'hot']","['hot', 'hot']","['hot', 'hot']","['hot', 'hot']","['hot', 'hot']","['hot', 'hot']"
Check out this video on YouTube:﻿,1,check out this video on youtube:﻿,check out this video on youtube,"['check', 'out', 'this', 'video', 'on', 'youtube']","['check', 'out', 'this', 'video', 'on', 'youtube']","['check', 'out', 'this', 'video', 'on', 'youtube']","['check', 'video', 'youtube']","['check', 'video', 'youtub']","['check', 'video', 'youtub']"
"Wow justin Bieber is Better  thats why when he buys medication he always shares with his half wited money alfred but sadly enough he is an attention hog with swamp ass and an eating disorder filled with sassy mice, and flaming hot cheetos that he can eat with the power of the samurman.",1,"wow justin bieber is better  thats why when he buys medication he always shares with his half wited money alfred but sadly enough he is an attention hog with swamp ass and an eating disorder filled with sassy mice, and flaming hot cheetos that he can eat with the power of the samurman.",wow justin bieber is better thats why when he buys medication he always shares with his half wited money alfred but sadly enough he is an attention hog with swamp ass and an eating disorder filled with sassy mice and flaming hot cheetos that he can eat with the power of the samurman,"['wow', 'justin', 'bieber', 'is', 'better', 'thats', 'why', 'when', 'he', 'buys', 'medication', 'he', 'always', 'shares', 'with', 'his', 'half', 'wited', 'money', 'alfred', 'but', 'sadly', 'enough', 'he', 'is', 'an', 'attention', 'hog', 'with', 'swamp', 'ass', 'and', 'an', 'eating', 'disorder', 'filled', 'with', 'sassy', 'mice', 'and', 'flaming', 'hot', 'cheetos', 'that', 'he', 'can', 'eat', 'with', 'the', 'power', 'of', 'the', 'samurman']","['wow', 'justin', 'bieber', 'is', 'better', 'thats', 'why', 'when', 'he', 'buys', 'medication', 'he', 'always', 'shares', 'with', 'his', 'half', 'wited', 'money', 'alfred', 'but', 'sadly', 'enough', 'he', 'is', 'an', 'attention', 'hog', 'with', 'swamp', 'ass', 'and', 'an', 'eating', 'disorder', 'filled', 'with', 'sassy', 'mice', 'and', 'flaming', 'hot', 'cheetos', 'that', 'he', 'can', 'eat', 'with', 'the', 'power', 'of', 'the', 'samurman']","['wow', 'justin', 'bieber', 'is', 'better', 'that is', 'why', 'when', 'he', 'buys', 'medication', 'he', 'always', 'shares', 'with', 'his', 'half', 'wited', 'money', 'alfred', 'but', 'sadly', 'enough', 'he', 'is', 'an', 'attention', 'hog', 'with', 'swamp', 'ass', 'and', 'an', 'eating', 'disorder', 'filled', 'with', 'sassy', 'mice', 'and', 'flaming', 'hot', 'cheetos', 'that', 'he', 'can', 'eat', 'with', 'the', 'power', 'of', 'the', 'samurman']","['wow', 'justin', 'bieber', 'better', 'that is', 'buys', 'medication', 'always', 'shares', 'half', 'wited', 'money', 'alfred', 'sadly', 'enough', 'attention', 'hog', 'swamp', 'ass', 'eating', 'disorder', 'filled', 'sassy', 'mice', 'flaming', 'hot', 'cheetos', 'eat', 'power', 'samurman']","['wow', 'justin', 'bieber', 'better', 'that i', 'buy', 'medic', 'alway', 'share', 'half', 'wite', 'money', 'alfr', 'sad', 'enough', 'attent', 'hog', 'swamp', 'ass', 'eat', 'disord', 'fill', 'sassi', 'mice', 'flame', 'hot', 'cheeto', 'eat', 'power', 'samurman']","['wow', 'justin', 'bieber', 'better', 'that i', 'buy', 'medic', 'alway', 'share', 'half', 'wite', 'money', 'alfr', 'sad', 'enough', 'attent', 'hog', 'swamp', 'ass', 'eat', 'disord', 'fill', 'sassi', 'mice', 'flame', 'hot', 'cheeto', 'eat', 'power', 'samurman']"
this fucking song like a&#39;n oreo the only white part is the good 1﻿,0,this fucking song like a&#39;n oreo the only white part is the good 1﻿,this fucking song like a'n oreo the only white part is the good numeric,"['this', 'fucking', 'song', 'like', ""a'n"", 'oreo', 'the', 'only', 'white', 'part', 'is', 'the', 'good', 'numeric']","['this', 'fucking', 'song', 'like', ""a'n"", 'oreo', 'the', 'only', 'white', 'part', 'is', 'the', 'good', 'numeric']","['this', 'fucking', 'song', 'like', 'oreo', 'the', 'only', 'white', 'part', 'is', 'the', 'good', 'numeric']","['fucking', 'song', 'like', 'oreo', 'white', 'part', 'good', 'numeric']","['fuck', 'song', 'like', 'oreo', 'white', 'part', 'good', 'numer']","['fuck', 'song', 'like', 'oreo', 'white', 'part', 'good', 'numer']"
"no where near one of eminems actual best songs, real fans know what im talking about: Untitled, cold wind blows, welcome 2 hell, elevator, business, wtp, almost famous, 25 to life, rock bottom, no apologies, same song and dance, without me, way i am, toy soldiers, mosh and insane &lt; songs off the top of my head that&#39;s better﻿",0,"no where near one of eminems actual best songs, real fans know what im talking about: untitled, cold wind blows, welcome 2 hell, elevator, business, wtp, almost famous, 25 to life, rock bottom, no apologies, same song and dance, without me, way i am, toy soldiers, mosh and insane &lt; songs off the top of my head that&#39;s better﻿",no where near one of eminems actual best songs real fans know what im talking about untitled cold wind blows welcome numeric hell elevator business wtp almost famous numeric to life rock bottom no apologies same song and dance without me way i am toy soldiers mosh and insane songs off the top of my head that's better,"['no', 'where', 'near', 'one', 'of', 'eminems', 'actual', 'best', 'songs', 'real', 'fans', 'know', 'what', 'im', 'talking', 'about', 'untitled', 'cold', 'wind', 'blows', 'welcome', 'numeric', 'hell', 'elevator', 'business', 'wtp', 'almost', 'famous', 'numeric', 'to', 'life', 'rock', 'bottom', 'no', 'apologies', 'same', 'song', 'and', 'dance', 'without', 'me', 'way', 'i', 'am', 'toy', 'soldiers', 'mosh', 'and', 'insane', 'songs', 'off', 'the', 'top', 'of', 'my', 'head', 'that', ""'s"", 'better']","['no', 'where', 'near', 'one', 'of', 'eminems', 'actual', 'best', 'songs', 'real', 'fans', 'know', 'what', 'talking', 'about', 'untitled', 'cold', 'wind', 'blows', 'welcome', 'numeric', 'hell', 'elevator', 'business', 'wtp', 'almost', 'famous', 'numeric', 'to', 'life', 'rock', 'bottom', 'no', 'apologies', 'same', 'song', 'and', 'dance', 'without', 'me', 'way', 'i', 'am', 'toy', 'soldiers', 'mosh', 'and', 'insane', 'songs', 'off', 'the', 'top', 'of', 'my', 'head', 'that', 'better']","['no', 'where', 'near', 'one', 'of', 'eminems', 'actual', 'best', 'songs', 'real', 'fans', 'know', 'what', 'talking', 'about', 'untitled', 'cold', 'wind', 'blows', 'welcome', 'numeric', 'hell', 'elevator', 'business', 'wtp', 'almost', 'famous', 'numeric', 'to', 'life', 'rock', 'bottom', 'no', 'apologies', 'same', 'song', 'and', 'dance', 'without', 'me', 'way', 'i', 'am', 'toy', 'soldiers', 'mosh', 'and', 'insane', 'songs', 'off', 'the', 'top', 'of', 'my', 'head', 'that', 'better']","['near', 'one', 'eminems', 'actual', 'best', 'songs', 'real', 'fans', 'know', 'talking', 'untitled', 'cold', 'wind', 'blows', 'welcome', 'numeric', 'hell', 'elevator', 'business', 'wtp', 'almost', 'famous', 'numeric', 'life', 'rock', 'bottom', 'apologies', 'song', 'dance', 'without', 'way', 'toy', 'soldiers', 'mosh', 'insane', 'songs', 'top', 'head', 'better']","['near', 'one', 'eminem', 'actual', 'best', 'song', 'real', 'fan', 'know', 'talk', 'untitl', 'cold', 'wind', 'blow', 'welcom', 'numer', 'hell', 'elev', 'busi', 'wtp', 'almost', 'famous', 'numer', 'life', 'rock', 'bottom', 'apolog', 'song', 'danc', 'without', 'way', 'toy', 'soldier', 'mosh', 'insan', 'song', 'top', 'head', 'better']","['near', 'one', 'eminem', 'actual', 'best', 'song', 'real', 'fan', 'know', 'talk', 'untitl', 'cold', 'wind', 'blow', 'welcom', 'numer', 'hell', 'elev', 'busi', 'wtp', 'almost', 'famous', 'numer', 'life', 'rock', 'bottom', 'apolog', 'song', 'danc', 'without', 'way', 'toy', 'soldier', 'mosh', 'insan', 'song', 'top', 'head', 'better']"
"Finally someone shares the same opinion as me. I&#39;ve tried really hard to like Gangnam style but I just can&#39;t, I don&#39;t even get the dance either. A song like this should be more popular than Gangnam Style, at least it makes sense.",1,"finally someone shares the same opinion as me. i&#39;ve tried really hard to like gangnam style but i just can&#39;t, i don&#39;t even get the dance either. a song like this should be more popular than gangnam style, at least it makes sense.",finally someone shares the same opinion as me i've tried really hard to like gangnam style but i just can't i don't even get the dance either a song like this should be more popular than gangnam style at least it makes sense,"['finally', 'someone', 'shares', 'the', 'same', 'opinion', 'as', 'me', 'i', ""'ve"", 'tried', 'really', 'hard', 'to', 'like', 'gangnam', 'style', 'but', 'i', 'just', 'ca', ""n't"", 'i', 'do', ""n't"", 'even', 'get', 'the', 'dance', 'either', 'a', 'song', 'like', 'this', 'should', 'be', 'more', 'popular', 'than', 'gangnam', 'style', 'at', 'least', 'it', 'makes', 'sense']","['finally', 'someone', 'shares', 'the', 'same', 'opinion', 'as', 'me', 'i', ""'ve"", 'tried', 'really', 'hard', 'to', 'like', 'gangnam', 'style', 'but', 'i', 'just', ""n't"", 'i', 'do', ""n't"", 'even', 'get', 'the', 'dance', 'either', 'a', 'song', 'like', 'this', 'should', 'be', 'more', 'popular', 'than', 'gangnam', 'style', 'at', 'least', 'it', 'makes', 'sense']","['finally', 'someone', 'shares', 'the', 'same', 'opinion', 'as', 'me', 'i', 'have', 'tried', 'really', 'hard', 'to', 'like', 'gangnam', 'style', 'but', 'i', 'just', 'not', 'i', 'do', 'not', 'even', 'get', 'the', 'dance', 'either', 'a', 'song', 'like', 'this', 'should', 'be', 'more', 'popular', 'than', 'gangnam', 'style', 'at', 'least', 'it', 'makes', 'sense']","['finally', 'someone', 'shares', 'opinion', 'tried', 'really', 'hard', 'like', 'gangnam', 'style', 'even', 'get', 'dance', 'either', 'song', 'like', 'popular', 'gangnam', 'style', 'least', 'makes', 'sense']","['final', 'someon', 'share', 'opinion', 'tri', 'realli', 'hard', 'like', 'gangnam', 'style', 'even', 'get', 'danc', 'either', 'song', 'like', 'popular', 'gangnam', 'style', 'least', 'make', 'sens']","['final', 'someon', 'share', 'opinion', 'tri', 'realli', 'hard', 'like', 'gangnam', 'style', 'even', 'get', 'danc', 'either', 'song', 'like', 'popular', 'gangnam', 'style', 'least', 'make', 'sens']"
Check Out The New Hot Video By Dante B Called Riled Up,1,check out the new hot video by dante b called riled up,check out the new hot video by dante b called riled up,"['check', 'out', 'the', 'new', 'hot', 'video', 'by', 'dante', 'b', 'called', 'riled', 'up']","['check', 'out', 'the', 'new', 'hot', 'video', 'by', 'dante', 'called', 'riled', 'up']","['check', 'out', 'the', 'new', 'hot', 'video', 'by', 'dante', 'called', 'riled', 'up']","['check', 'new', 'hot', 'video', 'dante', 'called', 'riled']","['check', 'new', 'hot', 'video', 'dant', 'call', 'rile']","['check', 'new', 'hot', 'video', 'dant', 'call', 'rile']"
Check Out The New Hot Video By Dante B Called Riled Up,1,check out the new hot video by dante b called riled up,check out the new hot video by dante b called riled up,"['check', 'out', 'the', 'new', 'hot', 'video', 'by', 'dante', 'b', 'called', 'riled', 'up']","['check', 'out', 'the', 'new', 'hot', 'video', 'by', 'dante', 'called', 'riled', 'up']","['check', 'out', 'the', 'new', 'hot', 'video', 'by', 'dante', 'called', 'riled', 'up']","['check', 'new', 'hot', 'video', 'dante', 'called', 'riled']","['check', 'new', 'hot', 'video', 'dant', 'call', 'rile']","['check', 'new', 'hot', 'video', 'dant', 'call', 'rile']"
"Still listening,still same pleasure﻿",0,"still listening,still same pleasure﻿",still listening still same pleasure,"['still', 'listening', 'still', 'same', 'pleasure']","['still', 'listening', 'still', 'same', 'pleasure']","['still', 'listening', 'still', 'same', 'pleasure']","['still', 'listening', 'still', 'pleasure']","['still', 'listen', 'still', 'pleasur']","['still', 'listen', 'still', 'pleasur']"
▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌ FACEBOOK PASSWORD HACK 2013! facebook-pass-hack2013.blogspot.com ONLY 100% WORKING SOFTWARE FOR HACKING ANY FACEBOOK PASSWORD! It&#39;s FREE for download and breaks any password in 10-15 minutes! 100% virus free! For details and FREE DOWNLOAD please visit facebook-pass-hack2013.blogspot.com ▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌,1,▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌ facebook password hack 2013! facebook-pass-hack2013.blogspot.com only 100% working software for hacking any facebook password! it&#39;s free for download and breaks any password in 10-15 minutes! 100% virus free! for details and free download please visit facebook-pass-hack2013.blogspot.com ▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌▌,facebook password hack numeric facebook pass hack2013 url only numeric working software for hacking any facebook password it's free for download and breaks any password in numeric minutes numeric virus free for details and free download please visit facebook pass hack2013 url,"['facebook', 'password', 'hack', 'numeric', 'facebook', 'pass', 'hack2013', 'url', 'only', 'numeric', 'working', 'software', 'for', 'hacking', 'any', 'facebook', 'password', 'it', ""'s"", 'free', 'for', 'download', 'and', 'breaks', 'any', 'password', 'in', 'numeric', 'minutes', 'numeric', 'virus', 'free', 'for', 'details', 'and', 'free', 'download', 'please', 'visit', 'facebook', 'pass', 'hack2013', 'url']","['facebook', 'password', 'hack', 'numeric', 'facebook', 'pass', 'hack2013', 'url', 'only', 'numeric', 'working', 'software', 'for', 'hacking', 'any', 'facebook', 'password', 'it', 'free', 'for', 'download', 'and', 'breaks', 'any', 'password', 'in', 'numeric', 'minutes', 'numeric', 'virus', 'free', 'for', 'details', 'and', 'free', 'download', 'please', 'visit', 'facebook', 'pass', 'hack2013', 'url']","['facebook', 'password', 'hack', 'numeric', 'facebook', 'pass', 'hack2013', 'url', 'only', 'numeric', 'working', 'software', 'for', 'hacking', 'any', 'facebook', 'password', 'it', 'free', 'for', 'download', 'and', 'breaks', 'any', 'password', 'in', 'numeric', 'minutes', 'numeric', 'virus', 'free', 'for', 'details', 'and', 'free', 'download', 'please', 'visit', 'facebook', 'pass', 'hack2013', 'url']","['facebook', 'password', 'hack', 'numeric', 'facebook', 'pass', 'hack2013', 'url', 'numeric', 'working', 'software', 'hacking', 'facebook', 'password', 'free', 'download', 'breaks', 'password', 'numeric', 'minutes', 'numeric', 'virus', 'free', 'details', 'free', 'download', 'please', 'visit', 'facebook', 'pass', 'hack2013', 'url']","['facebook', 'password', 'hack', 'numer', 'facebook', 'pass', 'hack2013', 'url', 'numer', 'work', 'softwar', 'hack', 'facebook', 'password', 'free', 'download', 'break', 'password', 'numer', 'minut', 'numer', 'virus', 'free', 'detail', 'free', 'download', 'pleas', 'visit', 'facebook', 'pass', 'hack2013', 'url']","['facebook', 'password', 'hack', 'numer', 'facebook', 'pass', 'hack2013', 'url', 'numer', 'work', 'softwar', 'hack', 'facebook', 'password', 'free', 'download', 'break', 'password', 'numer', 'minut', 'numer', 'virus', 'free', 'detail', 'free', 'download', 'pleas', 'visit', 'facebook', 'pass', 'hack2013', 'url']"
I love you!❤✨﻿,0,i love you!❤✨﻿,i love you red_heart sparkles,"['i', 'love', 'you', 'red_heart', 'sparkles']","['i', 'love', 'you', 'red_heart', 'sparkles']","['i', 'love', 'you', 'love_emoji', 'sparkles']","['love', 'love_emoji', 'sparkles']","['love', 'love_emoji', 'sparkl']","['love', 'love_emoji', 'sparkl']"
2010? The time past so fast ..﻿,0,2010? the time past so fast ..﻿,numeric the time past so fast,"['numeric', 'the', 'time', 'past', 'so', 'fast']","['numeric', 'the', 'time', 'past', 'so', 'fast']","['numeric', 'the', 'time', 'past', 'so', 'fast']","['numeric', 'time', 'past', 'fast']","['numer', 'time', 'past', 'fast']","['numer', 'time', 'past', 'fast']"
